"","x"
"465",29.3
"466",29.5
"467",29.3
"468",-1.3
"469",-1.3
"470",-1.3
"471",-1.3
"472",0
"473",-0.2
"474",0.4
"475",-1.3
"476",-1.3
"477",-1.7
"478",-1.8
"479",-1.6
"480",-1.8
"481",-1.8
"482",-1.8
"483",-0.9
"484",-0.5
"485",-0.2
"486",-0.2
"487",26.6
"488",26.1
"489",26.1
"490",26.1
"491",26.1
"492",26.1
"493",26.1
"494",26.1
"495",26.6
"496",26.6
"497",10.6
"498",11.3
"499",10.3
"500",11
"501",1.9
"502",1.9
"503",1.9
"504",1.9
"505",1.9
"506",1.9
"507",1.9
"508",1.9
"509",1.9
"510",1.9
"511",1.9
"512",1.9
"513",1.9
"514",13.7
"515",1.1
"516",1.1
"517",1.2
"518",1.2
"519",1.2
"520",1.2
"521",1.9
"522",1.9
"523",1.9
"524",1.9
"525",1.9
"526",1.9
"527",1.9
"528",-0.7
"529",1.9
"530",1.9
"531",1.9
"532",1.9
"533",1.9
"534",1.9
"535",1.9
"536",1.9
"537",26.4
"538",18.1
"539",19.2
"540",19.5
"541",19.5
"542",17.3
"543",17.6
"544",17.6
"545",19.5
"546",19.7
"547",20.3
"548",20.2
"549",20.2
"550",20.8
"551",17.9
"552",19.3
"553",18.4
"554",18.4
"555",20.2
"556",20.1
"557",20.1
"558",22.2
"559",24.2
"560",18.1
"561",17.8
"562",18.4
"563",10.6
"564",-0.2
"565",-0.2
"566",-0.2
"567",-0.2
"568",18.5
"569",19.9
"570",0.3
"571",-1.7
"572",-1.1
"573",-1
"574",-1.2
"575",-1.7
"576",-0.8
"577",-1.3
"578",-0.8
"579",5.3
"580",-0.8
"581",0
"582",2.3
"583",2.7
"584",4
"585",5.1
"586",2
"587",-1.7
"588",-1.3
"589",-0.4
"590",-0.4
"591",-1.8
"592",-1.8
"593",-1.8
"594",-1.8
"595",-1.8
"596",10.1
"597",-0.4
"598",-1.5
"599",6.8
"600",7.4
"601",-0.5
"602",1
"603",2.6
"604",6.2
"605",-1.5
"606",-1.3
"607",-1.6
"608",0.8
"609",0.5
"610",1.6
"611",1.8
"612",1.8
"613",0.6
"614",2.7
"615",1.9
"616",1.9
"617",-1.7
"618",0.1
"619",1.3
"620",-1.1
"621",-1.3
"622",-1.1
"623",-0.5
"624",-0.7
"625",6.9
"626",-0.5
"627",0.2
"628",-1
"629",0.6
"630",0.7
"631",1.7
"632",2.1
"633",2.7
"634",-1.7
"635",-1.5
"636",-1.6
"637",-1.6
"638",-1.7
"639",7
"640",6.8
"641",2.6
"642",1.5
"643",1.5
"644",0.7
"645",-1.5
"646",-0.2
"647",0.2
"648",1
"649",2.1
"650",4.7
"651",2
"652",3.1
"653",0.6
"654",0.6
"655",-1.1
"656",-0.5
"657",-0.2
"658",0
"659",0.2
"660",0.7
"661",1.7
"662",1.2
"663",4.5
"664",4
"665",8.3
"666",8.9
"667",12
"668",10.9
"669",11.4
"670",11.4
"671",25.3
"672",25.3
"673",25.7
"674",25.7
"675",25.9
"676",25.9
"677",26.6
"678",26.8
"679",26.8
"680",27.4
"681",27.4
"682",28
"683",28.8
"684",28.6
"685",28.8
"686",28.8
"687",29.1
"688",29.2
"689",29.3
"690",29
"691",26.9
"692",27.9
"693",28.5
"694",26.9
"695",27.2
"696",27.3
"697",27.2
"698",27.9
"699",14.8
"700",5.5
"701",6
"702",5.3
"703",4.9
"704",5.1
"705",5.3
"706",5.3
"707",5.9
"708",6.2
"709",5.3
"710",5.3
"711",5.5
"712",4.4
"713",4.6
"714",4.6
"715",5.5
"716",5.5
"717",7.1
"718",6.8
"719",6.9
"720",6.9
"721",7
"722",7.1
"723",7.4
"724",9.6
"725",7.8
"726",13.4
"727",15.6
"728",16.9
"729",16.1
"730",16
"731",16.4
"732",15.9
"733",13
"734",26.7
"735",26.5
"736",26.9
"737",26.8
"738",26.8
"739",26.8
"740",26.9
"741",27.1
"742",26.9
"743",28
"744",27.3
"745",27.1
"746",27.4
"747",27.6
"748",27.7
"749",28.1
"750",28.2
"751",28.2
"752",28.1
"753",28.9
"754",28.5
"755",28.5
"756",28.5
"757",10.6
"758",2.3
"759",1.5
"760",0.4
"761",1.3
"762",6.8
"763",8.7
"764",27
"765",25
"766",26.5
"767",25.4
"768",25.3
"769",25.2
"770",25
"771",26.3
"772",26.1
"773",25.9
"774",25.9
"775",25.9
"776",24.9
"777",24.9
"778",25.7
"779",24.6
"780",22.1
"781",21.9
"782",23.2
"783",20.8
"784",18.5
"785",23.2
"786",20
"787",20.2
"788",25.1
"789",10.2
"790",9.7
"791",9.7
"792",11.8
"793",11.8
"794",11.8
"795",12.4
"796",12.4
"797",28.1
"798",4.8
"799",5.5
"800",6.9
"801",4.5
"802",3.8
"803",4.7
"804",5.8
"805",5.6
"806",4.5
"807",7.4
"808",8
"809",8.2
"810",7.8
"811",7.4
"812",6.6
"813",5.9
"814",6.1
"815",6
"816",6.1
"817",8.6
"818",6.5
"819",5.9
"820",6.9
"821",6.2
"822",6.5
"823",7
"824",6.4
"825",5.6
"826",5.1
"827",5
"828",5
"829",4.7
"830",4.7
"831",28.9
"832",28.3
"833",22.9
"834",22.7
"835",12
"836",13.4
"837",23.1
"838",28.8
"839",5.5
"840",5.5
"841",5.5
"842",7.2
"843",26.4
"844",27
"845",22.5
"846",22.9
"847",23.1
"848",23.3
"849",11.5
"850",26.2
"851",17.1
"852",18.3
"853",21.4
"854",21.4
